Locus_tag	Product	Protein_ID	Start	End
pgaptmp_001595	HEPN domain-containing protein	WP_017825303.1	188487	188870
pgaptmp_001596	nucleotidyltransferase family protein	WP_003371321.1	188872	189228
pgaptmp_001597	S66 family peptidase	WP_012425274.1	189408	190268
pgaptmp_001598	glycosyltransferase family 2 protein	WP_017825305.1	190792	191763
pgaptmp_001599	GtrA family protein	WP_012423567.1	191773	192180
pgaptmp_001600	iron-containing alcohol dehydrogenase	WP_012342913.1	192249	193412
pgaptmp_001601	23S rRNA pseudouridine(2604) synthase RluF	WP_003373374.1	193644	194324
pgaptmp_001602	ATP-binding protein	WP_012423688.1	194418	195950
pgaptmp_001603	UV DNA damage repair endonuclease UvsE	WP_003371728.1	196161	197129
pgaptmp_001604	DUF11 domain-containing protein	WP_012425825.1	197364	198248
pgaptmp_001605	SPOCS domain-containing protein	WP_012451401.1	198277	198756
pgaptmp_001606	DUF7507 domain-containing protein	WP_012425738.1	198908	207007
pgaptmp_001607	DUF11 domain-containing protein	WP_003370122.1	207230	210649
pgaptmp_001608	hypothetical protein	WP_017352669.1	210897	211508
pgaptmp_001609	MATE family efflux transporter	WP_003373470.1	211860	213221
pgaptmp_001610	hypothetical protein	WP_017352667.1	213393	213854
pgaptmp_001611	CPC_1213 family protein	WP_003374742.1	214028	214162
pgaptmp_001612	hypothetical protein	WP_008418263.1	214214	214360
pgaptmp_001613	galactose ABC transporter substrate-binding protein	WP_012425870.1	214436	215494
pgaptmp_001614	UDP-N-acetylglucosamine pyrophosphorylase	WP_003369565.1	215625	216047
pgaptmp_001615	acyl-CoA dehydratase activase-related protein	WP_017825932.1	216453	220757
pgaptmp_001616	tetratricopeptide repeat protein	WP_012450627.1	220956	221309
pgaptmp_001617	transglutaminase-like domain-containing protein	WP_012449957.1	221359	222423
pgaptmp_001618	recombination regulator RecX	WP_003373428.1	222436	223074
pgaptmp_001619	M16 family metallopeptidase	WP_003371643.1	223202	224443
pgaptmp_001620	response regulator transcription factor	WP_003370493.1	224623	225294
pgaptmp_001621	HAMP domain-containing sensor histidine kinase	WP_017352272.1	225294	226802
pgaptmp_001622	fructose-bisphosphatase class III	WP_012424253.1	226826	228817
pgaptmp_001623	NAD(P)/FAD-dependent oxidoreductase	WP_012422997.1	229217	230074
pgaptmp_001624	thioredoxin	WP_003371073.1	230092	230406
pgaptmp_001625	ABC transporter ATP-binding protein	WP_012450891.1	230801	232507
pgaptmp_001626	ABC transporter ATP-binding protein	WP_017352270.1	232583	233254
pgaptmp_001627	ABC transporter permease	WP_003372747.1	233238	234008
pgaptmp_001628	ABC transporter substrate-binding protein	WP_012423459.1	233983	234963
pgaptmp_001629	YaaR family protein	WP_009168950.1	235309	235728
pgaptmp_001630	hypothetical protein	WP_003374411.1	235899	236198
pgaptmp_001631	spore germination protein	WP_003373572.1	236445	237848
pgaptmp_001632	CvfB family protein	WP_003371479.1	237969	238805
pgaptmp_001633	gamma carbonic anhydrase family protein	WP_012425675.1	238829	239338
pgaptmp_001634	histidinol phosphatase	WP_012423204.1	239480	240475
pgaptmp_001635	hypothetical protein	WP_017352263.1	240686	241024
pgaptmp_001636	Lrp/AsnC ligand binding domain-containing protein	WP_003370983.1	241255	241722
pgaptmp_001637	DUF378 domain-containing protein	WP_003373456.1	241800	242000
pgaptmp_001638	putative ABC transporter permease	WP_012423480.1	242145	242906
pgaptmp_001639	phosphoenolpyruvate carboxykinase	WP_012424428.1	242962	244713
pgaptmp_001640	ComEC/Rec2 family competence protein	WP_003374104.1	244929	245795
pgaptmp_001641	glutamate--tRNA ligase	WP_003373754.1	245949	247406
pgaptmp_001642	ribonuclease H-like domain-containing protein	WP_003374636.1	247536	248276
pgaptmp_001643	HAD-IB family hydrolase	WP_003369924.1	248291	249019
pgaptmp_001644	FeoA family protein	WP_003371824.1	249249	249470
pgaptmp_001645	ferrous iron transport protein B	WP_012451058.1	249485	251248
pgaptmp_001646	FeoB-associated Cys-rich membrane protein	WP_012425398.1	251301	251453
pgaptmp_001647	AI-2E family transporter	WP_003373912.1	251732	252844
pgaptmp_001648	arginine--tRNA ligase	WP_011968362.1	253124	254815
pgaptmp_001649	Ppx/GppA phosphatase family protein	WP_003371047.1	255462	256967
pgaptmp_001650	site-2 protease family protein	WP_017826650.1	257277	257915
pgaptmp_001651	dipeptidyl-peptidase IV	WP_012449800.1	258160	259191
pgaptmp_001652	phosphodiester glycosidase family protein	WP_003373999.1	259210	260253
pgaptmp_001653	biotin--[acetyl-CoA-carboxylase] ligase	WP_012451171.1	260508	261476
pgaptmp_001654	aspartate--ammonia ligase	WP_012424779.1	261615	262628
pgaptmp_001655	L-lactate dehydrogenase	WP_003370097.1	262786	263736
pgaptmp_001656	exonuclease domain-containing protein	WP_003459802.1	264101	264715
pgaptmp_001657	rubredoxin	WP_003373121.1	264905	265066
pgaptmp_001658	pyruvate formate-lyase-activating protein	WP_003372678.1	265262	265972
pgaptmp_001659	formate C-acetyltransferase	WP_003448207.1	266142	268370
pgaptmp_001660	DUF2334 domain-containing protein	WP_003370375.1	268796	270172
pgaptmp_001661	orotate phosphoribosyltransferase	WP_010963356.1	270323	270997
pgaptmp_001662	dihydroorotate dehydrogenase	WP_012451625.1	271048	271944
pgaptmp_001663	dihydroorotate dehydrogenase electron transfer subunit	WP_003372932.1	271966	272709
pgaptmp_001664	orotidine-5'-phosphate decarboxylase	WP_017352250.1	272721	273593
pgaptmp_001665	dihydroorotase	WP_012423809.1	273850	275046
pgaptmp_001666	aspartate carbamoyltransferase regulatory subunit	WP_003371963.1	275069	275500
pgaptmp_001667	aspartate carbamoyltransferase	WP_012425577.1	275502	276425
pgaptmp_001668	undecaprenyl-diphosphate phosphatase	WP_017352249.1	276942	277799
pgaptmp_001669	hypothetical protein	WP_017352248.1	277868	278995
pgaptmp_001670	tetratricopeptide repeat protein	WP_003369378.1	279154	280923
pgaptmp_001671	MurT ligase domain-containing protein	WP_012450804.1	281119	282480
pgaptmp_001672	type 1 glutamine amidotransferase	WP_003372691.1	282499	283230
pgaptmp_001673	polysaccharide deacetylase family protein	WP_012424631.1	283299	284045
pgaptmp_001674	D-alanyl-D-alanine carboxypeptidase family protein	WP_012425391.1	284441	285718
pgaptmp_001675	flavin reductase family protein	WP_012422828.1	285778	286377
pgaptmp_001676	arsenate reductase family protein	WP_012423535.1	286460	286798
pgaptmp_001677	acyltransferase family protein	WP_012424296.1	287115	288068
pgaptmp_001678	DedA family protein	WP_017352245.1	288108	288755
pgaptmp_001679	MATE family efflux transporter	WP_003372964.1	288872	290209
pgaptmp_001680	N-acetylmuramoyl-L-alanine amidase family protein	WP_003370653.1	290540	292306
pgaptmp_001681	5'-nucleotidase%2C lipoprotein e(P4) family	WP_017352243.1	292616	293500
pgaptmp_001683	dicarboxylate/amino acid:cation symporter	WP_012425481.1	294408	295580
pgaptmp_001684	helix-turn-helix transcriptional regulator	WP_012422935.1	295632	295832
pgaptmp_001685	DUF3796 domain-containing protein		295837	296193
pgaptmp_001686	hypothetical protein	WP_012451269.1	296541	296936
pgaptmp_001687	galactose ABC transporter substrate-binding protein	WP_012425709.1	296995	298032
pgaptmp_001688	CYTH domain-containing protein	WP_012425002.1	298137	298643
pgaptmp_001689	VOC family protein	WP_003362150.1	298917	299339
pgaptmp_001690	DUF6773 family protein	WP_011876970.1	299699	300139
pgaptmp_001691	helix-turn-helix transcriptional regulator	WP_011876969.1	300142	300336
pgaptmp_001692	50S ribosomal protein L7/L12	WP_017825056.1	300659	300928
pgaptmp_001693	class I SAM-dependent methyltransferase	WP_012425300.1	301038	301601
pgaptmp_001694	DUF1648 domain-containing protein	WP_012424999.1	301863	302300
pgaptmp_001695	hypothetical protein		302402	302614
pgaptmp_001696	phosphotransferase family protein	WP_017352236.1	302943	303872
pgaptmp_001697	voltage-gated chloride channel family protein	WP_012422952.1	304961	306334
pgaptmp_001698	bifunctional glutamate--cysteine ligase GshA/glutathione synthetase GshB	WP_015392886.1	306564	306830
pgaptmp_001699	MATE family efflux transporter	WP_012424401.1	306863	308191
pgaptmp_001700	gamma-glutamyl-gamma-aminobutyrate hydrolase family protein		308211	308465
pgaptmp_001701	linear amide C-N hydrolase	WP_012425750.1	309689	310681
pgaptmp_001702	NCS2 family permease	WP_017352229.1	310900	312240
pgaptmp_001703	hypothetical protein	-2+	312923	313153
pgaptmp_001704	DUF3791 domain-containing protein	WP_003370148.1	313154	313381
pgaptmp_001705	HEPN domain-containing protein	WP_007063368.1	313368	313937
pgaptmp_001706	hypothetical protein	WP_003374415.1	313941	314174
pgaptmp_001707	DUF86 domain-containing protein	-2+	314620	314748
pgaptmp_001708	type VII toxin-antitoxin system MntA family adenylyltransferase antitoxin	WP_012101631.1	314748	315164
pgaptmp_001709	hypothetical protein	-2+	315373	315741
pgaptmp_001710	GNAT family N-acetyltransferase	WP_012424185.1	316361	316894
pgaptmp_001711	DUF4440 domain-containing protein	WP_002580051.1	317037	317423
pgaptmp_001712	hypothetical protein	-2+	317527	318180
pgaptmp_001713	DUF1659 domain-containing protein	WP_012424307.1	318345	318551
pgaptmp_001714	DUF2922 domain-containing protein	WP_012449488.1	318596	318814
pgaptmp_001715	caspase family protein	WP_016208704.1	319100	320629
pgaptmp_001716	UvrD-helicase domain-containing protein	WP_009260918.1	320767	322620
pgaptmp_001717	AAA family ATPase		322632	324833
pgaptmp_001718	hypothetical protein	-2+	325092	325562
pgaptmp_001719	ABC transporter substrate-binding protein	WP_003374580.1	326260	327288
pgaptmp_001720	ABC transporter ATP-binding protein	WP_012425235.1	327308	328075
pgaptmp_001721	ABC transporter permease	WP_012424349.1	328068	328868
pgaptmp_001722	CidA/LrgA family protein	WP_003369833.1	329110	329496
pgaptmp_001723	LrgB family protein	WP_012423582.1	329480	330193
pgaptmp_001724	DNA topoisomerase	WP_011010711.1	330357	332513
pgaptmp_001725	TspO/MBR family protein	WP_012425858.1	332663	333163
pgaptmp_001726	ATP-binding protein	WP_017352218.1	333332	335350
pgaptmp_001727	sensor histidine kinase	WP_017352217.1	335316	337241
pgaptmp_001728	YhgE/Pip family protein	WP_012449988.1	337541	339823
pgaptmp_001729	YhgE/Pip family protein	WP_017825603.1	339835	342111
pgaptmp_001730	glycosyl hydrolase family 8	WP_012423754.1	342582	343697
pgaptmp_001731	lytic transglycosylase domain-containing protein	WP_012424461.1	343739	344305
pgaptmp_001732	dephospho-CoA kinase	WP_012424456.1	344549	345145
pgaptmp_001733	DNA polymerase I	WP_012450596.1	345168	347783
pgaptmp_001734	aminopeptidase	WP_003370928.1	348289	349518
pgaptmp_001735	clostri-philic family protein	WP_003369543.1	350045	350182
pgaptmp_001736	dCTP deaminase	WP_012060750.1	350275	350796
pgaptmp_001737	hypothetical protein	-2+	351057	351728
pgaptmp_001738	hypothetical protein	-2+	351773	351934
pgaptmp_001739	hypothetical protein	-2+	351955	352230
pgaptmp_001740	hypothetical protein	-2+	352780	353256
pgaptmp_001741	endonuclease V	WP_017352613.1	353415	354112
pgaptmp_001742	hypothetical protein	-2+	354215	354649
pgaptmp_001743	hypothetical protein	-2+	354661	354852
pgaptmp_001744	YwqJ-related putative deaminase	-2+	354836	355225
pgaptmp_001745	hypothetical protein	-2+	355788	356171
pgaptmp_001746	hypothetical protein	-2+	356642	357067
pgaptmp_001747	deaminase domain-containing protein		357051	358013
pgaptmp_001748	hypothetical protein	-2+	358440	358685
pgaptmp_001749	hypothetical protein	-2+	358758	359981
pgaptmp_001750	hypothetical protein		360171	360629
pgaptmp_001751	hypothetical protein	-2+	360644	363001
pgaptmp_001752	DUF4280 domain-containing protein	WP_017353304.1	363028	363414
pgaptmp_001753	imm11 family protein	WP_017353303.1	363432	363962
pgaptmp_001754	hypothetical protein	WP_017353302.1	363977	364588
pgaptmp_001755	contractile injection system protein%2C VgrG/Pvc8 family	WP_017826525.1	364618	366027
pgaptmp_001756	hypothetical protein	WP_009168604.1	366044	366646
pgaptmp_001757	NADP-dependent isocitrate dehydrogenase	WP_012423494.1	367057	368265
pgaptmp_001758	YeiH family protein	WP_003373693.1	368401	369411
pgaptmp_001759	LysR family transcriptional regulator	WP_017353283.1	369538	370413
pgaptmp_001760	methyl-accepting chemotaxis protein	WP_012451204.1	370665	372434
pgaptmp_001761	ABC transporter substrate-binding protein	WP_012422639.1	372903	374192
pgaptmp_001762	carbohydrate ABC transporter permease	WP_003370940.1	374347	375213
pgaptmp_001763	carbohydrate ABC transporter permease	WP_017826515.1	375213	376118
pgaptmp_001764	DNA alkylation repair protein	WP_012451548.1	376188	376874
pgaptmp_001765	methyl-accepting chemotaxis protein	WP_012424337.1	377069	379105
pgaptmp_001766	N-acetylmuramoyl-L-alanine amidase	WP_012425546.1	379224	381251
pgaptmp_001767	PilZ domain-containing protein	WP_012423198.1	381533	382156
pgaptmp_001768	FtsW/RodA/SpoVE family cell cycle protein	WP_017353276.1	382494	383789
pgaptmp_001769	PadR family transcriptional regulator	WP_012422693.1	383889	384314
pgaptmp_001770	RNA polymerase sigma factor	WP_012424003.1	384326	384850
pgaptmp_001771	Cof-type HAD-IIB family hydrolase	WP_017353274.1	385237	386025
pgaptmp_001772	YdcF family protein	WP_017353738.1	386381	387169
pgaptmp_001773	hypothetical protein	-2+	387183	387326
pgaptmp_001774	transcription elongation factor GreAB	WP_012423334.1	387439	387960
pgaptmp_001775	TfoX/Sxy family protein	WP_003357728.1	388044	388304
pgaptmp_001776	DUF6547 family protein		388468	388647
pgaptmp_001777	suppressor of fused domain protein	WP_017826482.1	388653	389315
pgaptmp_001778	ATP-binding protein	WP_017826479.1	389624	390922
pgaptmp_001779	response regulator transcription factor	WP_003373560.1	390919	391605
pgaptmp_001780	class I SAM-dependent methyltransferase	WP_012451584.1	391619	392179
pgaptmp_001781	AAA family ATPase	WP_012423611.1	392466	395852
pgaptmp_001782	DUF6442 family protein	WP_017894999.1	396160	396639
pgaptmp_001783	helix-turn-helix transcriptional regulator	WP_011968049.1	396636	396845
pgaptmp_001784	peptide deformylase	WP_008424637.1	397282	397692
pgaptmp_001785	hypothetical protein	WP_017353717.1	397939	398262
pgaptmp_001786	MFS transporter	WP_012422756.1	398286	399584
pgaptmp_001787	TetR/AcrR family transcriptional regulator	WP_012423819.1	399661	400317
pgaptmp_001788	hypothetical protein	WP_003370912.1	400729	401031
pgaptmp_001789	hypothetical protein	-2+	401281	401565
pgaptmp_001790	DUF4097 family beta strand repeat-containing protein	WP_012423037.1	401597	402400
pgaptmp_001791	hypothetical protein	-2+	402610	402774
pgaptmp_001792	hypothetical protein	-2+	402807	403142
pgaptmp_001793	manganese catalase family protein	WP_017825528.1	403221	403631
pgaptmp_001794	phage holin family protein	WP_017353713.1	403630	404001
pgaptmp_001795	small%2C acid-soluble spore protein%2C alpha/beta type	WP_012424838.1	404170	404364
pgaptmp_001796	hypothetical protein	-2+	404801	404932
pgaptmp_001797	hypothetical protein	-2+	405130	405330
pgaptmp_001798	hypothetical protein	WP_012422880.1	405314	405463
pgaptmp_001799	hypothetical protein	WP_012423479.1	405991	406308
pgaptmp_001800	YgaP family membrane protein		406441	406635
pgaptmp_001801	DUF3990 domain-containing protein		406820	406993
pgaptmp_001802	tyrosine-type recombinase/integrase		407073	407297
pgaptmp_001803	hypothetical protein	-2+	407500	407784
pgaptmp_001804	DUF4097 family beta strand repeat-containing protein	WP_012449744.1	407816	408619
pgaptmp_001805	type I restriction-modification enzyme R subunit C-terminal domain-containing protein	WP_014519942.1	408834	409409
pgaptmp_001806	1%2C4-beta-N-acetylmuramidase	WP_012451136.1	410104	410835
pgaptmp_001807	YecA family protein		411658	412515
pgaptmp_001808	hypothetical protein	-2+	412517	413020
pgaptmp_001809	SAVED domain-containing protein		413129	413575
pgaptmp_001810	hypothetical protein	-2+	413872	414027
pgaptmp_001811	hypothetical protein	-2+	414024	414182
pgaptmp_001812	hypothetical protein	-2+	414207	414419
pgaptmp_001813	hypothetical protein	-2+	415076	416911
pgaptmp_001814	McrB family protein	-2+	416901	418910
pgaptmp_001815	hypothetical protein	-2+	418927	420273
pgaptmp_001816	TIGR04540 family protein		420274	420525
pgaptmp_001817	transposase		421006	421440
pgaptmp_001818	hypothetical protein	-2+	421370	421657
pgaptmp_001819	hypothetical protein	-2+	422459	422590
pgaptmp_001820	hypothetical protein	-2+	422644	422778
pgaptmp_001821	transcription factor	WP_012425582.1	422958	423242
pgaptmp_001822	hypothetical protein	-2+	423402	424070
pgaptmp_001823	hypothetical protein		424098	424517
pgaptmp_001824	ComEC/Rec2 family competence protein	WP_012424663.1	424635	425711
pgaptmp_001825	hypothetical protein	WP_012423486.1	425739	425981
pgaptmp_001826	N-acetylmuramoyl-L-alanine amidase family protein	WP_012425492.1	426040	426846
pgaptmp_001827	glycoside hydrolase family protein	WP_003374140.1	427730	428545
pgaptmp_001828	hypothetical protein	WP_017352989.1	428604	428777
pgaptmp_001829	BhlA/UviB family holin-like peptide	WP_003373658.1	428790	429011
pgaptmp_001830	Ig-like domain-containing protein	WP_017352991.1	429088	430095
pgaptmp_001850	polysaccharide deacetylase family protein	WP_017354282.1	498	1445
pgaptmp_001851	response regulator transcription factor	WP_012423379.1	1547	2236
pgaptmp_001852	sensor histidine kinase	WP_012423786.1	2241	3638
pgaptmp_001853	hypothetical protein	WP_012451228.1	3635	5089
pgaptmp_001854	TldD/PmbA family protein	WP_011967718.1	5380	6762
pgaptmp_001855	TldD/PmbA family protein	WP_017826090.1	6766	8109
pgaptmp_001856	LTA synthase family protein	WP_003370869.1	8463	10313
pgaptmp_001857	sulfurtransferase-like selenium metabolism protein YedF	WP_012449845.1	10496	11074
pgaptmp_001858	NAD(P)/FAD-dependent oxidoreductase	WP_012424210.1	11105	12061
pgaptmp_001859	GDSL-type esterase/lipase family protein	WP_012424896.1	12058	12621
pgaptmp_001860	RusA family crossover junction endodeoxyribonuclease	WP_012451199.1	12637	13254
pgaptmp_001861	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	WP_011967726.1	13571	14590
pgaptmp_001862	alpha/beta fold hydrolase	WP_012449851.1	14593	15597
pgaptmp_001863	S1C family serine protease	WP_009168084.1	15761	16948
pgaptmp_001864	carboxypeptidase-like regulatory domain-containing protein	WP_012424091.1	17112	17531
pgaptmp_001865	ethanolamine utilization protein EutH	WP_012424834.1	17859	18941
pgaptmp_001866	extracellular solute-binding protein	WP_017353585.1	18967	20103
pgaptmp_001867	glycosyltransferase family 4 protein	WP_003374032.1	20106	21227
pgaptmp_001868	CotS family spore coat protein	WP_012449498.1	21374	22390
pgaptmp_001869	spore coat protein	WP_012423932.1	22410	23135
pgaptmp_001870	CotS family spore coat protein	WP_012423014.1	23229	24272
pgaptmp_001871	glycosyltransferase family 4 protein	WP_012425880.1	24478	25620
pgaptmp_001872	CotS family spore coat protein	WP_012450479.1	25730	26731
pgaptmp_001873	sporulation peptidase YabG	WP_012703905.1	27001	27864
pgaptmp_001874	Veg family protein	WP_003369318.1	28053	28295
pgaptmp_001875	DUF3794 and LysM peptidoglycan-binding domain-containing protein	WP_012424418.1	28708	30270
pgaptmp_001876	cyanophycinase	WP_003371386.1	30481	31326
pgaptmp_001877	cyanophycin synthetase	WP_003370631.1	31298	33916
pgaptmp_001878	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	WP_012451223.1	34097	34939
pgaptmp_001879	stage II sporulation protein R	WP_012450528.1	35001	35627
pgaptmp_001880	DUF814 domain-containing protein	WP_012425692.1	35664	36656
pgaptmp_001881	DUF1934 domain-containing protein	WP_017353579.1	36721	37143
pgaptmp_001882	hypothetical protein	WP_012424159.1	37268	37567
pgaptmp_001883	CTP synthase	WP_012449540.1	37753	39354
pgaptmp_001884	transcription termination factor Rho	WP_003373357.1	39737	41362
pgaptmp_001885	MGDG synthase family glycosyltransferase	WP_012451175.1	41411	42517
pgaptmp_001886	50S ribosomal protein L31	WP_003374052.1	42659	42868
pgaptmp_001887	thymidine kinase	WP_012449758.1	43046	43633
pgaptmp_001888	peptide chain release factor N(5)-glutamine methyltransferase	WP_008676594.1	43663	45427
pgaptmp_001889	peptide chain release factor 1	WP_011967753.1	45693	46775
pgaptmp_001890	hypothetical protein	WP_012449866.1	46857	47444
pgaptmp_001891	L-threonylcarbamoyladenylate synthase	WP_012450655.1	47463	48512
pgaptmp_001892	ribose 5-phosphate isomerase B	WP_003473369.1	48636	49085
pgaptmp_001893	uracil phosphoribosyltransferase	WP_003372223.1	49131	49760
pgaptmp_001894	deaminase	WP_003370242.1	49870	50364
pgaptmp_001895	non-hydrolyzing UDP-N-acetylglucosamine 2-epimerase	WP_012449710.1	50492	51640
pgaptmp_001896	acetyl-CoA C-acetyltransferase	WP_012425289.1	51770	52951
pgaptmp_001897	hypothetical protein	WP_012423362.1	54000	54365
pgaptmp_001898	F0F1 ATP synthase subunit A	WP_012450700.1	54367	55047
pgaptmp_001899	ATP synthase F0 subunit C	WP_003369994.1	55080	55295
pgaptmp_001900	F0F1 ATP synthase subunit B	WP_003452454.1	55346	55825
pgaptmp_001901	F0F1 ATP synthase subunit delta	WP_003373046.1	55828	56367
pgaptmp_001902	F0F1 ATP synthase subunit alpha	WP_002582288.1	56378	57892
pgaptmp_001903	ATP synthase F1 subunit gamma	WP_012424335.1	57933	58784
pgaptmp_001904	F0F1 ATP synthase subunit beta	WP_003373604.1	58800	60191
pgaptmp_001905	ATP synthase F1 subunit epsilon	WP_012422611.1	60205	60609
pgaptmp_001906	hypothetical protein	WP_012423612.1	60768	61406
pgaptmp_001907	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	WP_012423720.1	61468	62730
pgaptmp_001908	stage II sporulation protein D	WP_003368906.1	62848	63885
pgaptmp_001909	peptidoglycan DD-metalloendopeptidase family protein	WP_003371245.1	64057	64782
pgaptmp_001910	sporulation transcriptional regulator SpoIIID	WP_012423010.1	64873	65127
pgaptmp_001911	rod shape-determining protein	WP_003374639.1	65207	66241
pgaptmp_001912	spore protease YyaC	WP_017353568.1	66285	66803
pgaptmp_001913	hypothetical protein	WP_003371469.1	66916	67323
pgaptmp_001921	methionine adenosyltransferase	WP_012425565.1	68473	69648
pgaptmp_001922	SF1B family DNA helicase RecD2	WP_003369245.1	70070	72289
pgaptmp_001923	hypothetical protein	WP_017353565.1	72324	73337
pgaptmp_001924	ComF family protein	WP_003373720.1	73313	73966
pgaptmp_001925	ribosome hibernation-promoting factor%2C HPF/YfiA family	WP_003371588.1	74362	74895
pgaptmp_001926	preprotein translocase subunit SecA	WP_012425523.1	75217	77727
pgaptmp_001927	peptide chain release factor 2	WP_011592967.1	77937	78014
pgaptmp_001927	peptide chain release factor 2	WP_011592967.1	78016	79038
pgaptmp_001928	M28 family metallopeptidase	WP_003372723.1	79154	80536
pgaptmp_001929	ribonuclease G	WP_012424843.1	80736	81077
pgaptmp_001930	hypothetical protein	WP_012425542.1	81137	81469
pgaptmp_001931	Tex family protein	WP_008428772.1	81806	83983
pgaptmp_001932	Gfo/Idh/MocA family protein	WP_012423365.1	84174	85133
pgaptmp_001933	DMT family transporter	WP_012424988.1	85170	86138
pgaptmp_001934	ECF transporter S component	WP_012422869.1	86708	87298
pgaptmp_001935	ribosomal protein S18-alanine N-acetyltransferase	WP_012425216.1	87333	87788
pgaptmp_001936	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	WP_017825173.1	87772	88488
pgaptmp_001937	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	WP_003370935.1	88485	88946
pgaptmp_001938	metal ABC transporter substrate-binding protein	WP_012422837.1	89276	90142
pgaptmp_001940	PocR ligand-binding domain-containing protein	WP_012423247.1	90949	91986
pgaptmp_001941	glycerol dehydrogenase	WP_010077046.1	92230	93366
pgaptmp_001942	dihydroxyacetone kinase subunit DhaK	WP_003489277.1	93370	95130
pgaptmp_001943	choloylglycine hydrolase family protein	WP_012425750.1	95340	96332
pgaptmp_001944	S8 family peptidase	WP_012424507.1	96685	98502
pgaptmp_001945	S8 family peptidase	WP_012424160.1	98489	100210
pgaptmp_001946	solute carrier family 23 protein	WP_005213533.1	100629	101356
pgaptmp_001947	hypothetical protein	-2+	101479	101748
pgaptmp_001949	NAD(P)H-dependent flavin oxidoreductase	WP_012422685.1	102247	103314
pgaptmp_001950	alpha/beta-type small acid-soluble spore protein	WP_003373586.1	103592	103777
pgaptmp_001951	RNA polymerase sigma factor	WP_012424509.1	104142	104843
pgaptmp_001952	DUF4179 domain-containing protein	WP_012425421.1	104866	106239
pgaptmp_001953	metallophosphoesterase family protein	WP_017825171.1	106546	107676
pgaptmp_001954	AAA family ATPase	WP_011967825.1	107666	110404
pgaptmp_001955	metal ABC transporter solute-binding protein%2C Zn/Mn family	WP_012423637.1	110490	111392
pgaptmp_001956	MutS-related protein	WP_012424733.1	111694	113487
pgaptmp_001957	exonuclease domain-containing protein	WP_012423807.1	113610	114515
pgaptmp_001958	CBS domain-containing protein	WP_003369865.1	114610	115047
pgaptmp_001959	DUF1292 domain-containing protein	WP_017825167.1	115332	115988
pgaptmp_001960	PspA/IM30 family protein	WP_003374307.1	115999	116652
pgaptmp_001961	hypothetical protein	WP_012424211.1	116690	117382
pgaptmp_001962	30S ribosomal protein S1	WP_012451117.1	117945	119081
pgaptmp_001963	pyruvate kinase	WP_003370134.1	119398	120816
pgaptmp_001964	aminoacyl-histidine dipeptidase	WP_017353549.1	121018	122472
pgaptmp_001965	GNAT family N-acetyltransferase	WP_003370159.1	122720	123232
pgaptmp_001966	SPOR domain-containing protein	WP_012423028.1	123356	124012
pgaptmp_001967	Maf-like protein	WP_012451373.1	124250	124816
pgaptmp_001968	RadC family protein	WP_012450901.1	124860	125549
pgaptmp_001969	rod shape-determining protein	WP_012424528.1	125568	126668
pgaptmp_001970	rod shape-determining protein MreC	WP_017353545.1	126672	127517
pgaptmp_001971	rod shape-determining protein MreD	WP_003373980.1	127528	128019
pgaptmp_001972	penicillin-binding transpeptidase domain-containing protein	WP_003374706.1	128016	130931
pgaptmp_001973	septum site-determining protein MinC	WP_012424848.1	131304	131945
pgaptmp_001974	septum site-determining protein MinD	WP_012425428.1	131964	132761
pgaptmp_001975	cell division topological specificity factor MinE	WP_003374296.1	132774	133040
pgaptmp_001976	rod shape-determining protein RodA	WP_003374279.1	133167	134300
pgaptmp_001977	methylglyoxal synthase	WP_012451021.1	134349	134708
pgaptmp_001978	M23 family metallopeptidase	WP_017825161.1	135089	135886
pgaptmp_001979	site-2 protease family protein	WP_003369103.1	135915	136790
pgaptmp_001980	hypothetical protein	-2+	136771	136980
pgaptmp_001981	TIGR03960 family B12-binding radical SAM protein	WP_003473328.1	136998	138851
pgaptmp_001982	TIGR03936 family radical SAM-associated protein	WP_012450664.1	138835	139548
pgaptmp_001983	Rne/Rng family ribonuclease	WP_003368917.1	139627	141075
pgaptmp_001984	50S ribosomal protein L21	WP_012101257.1	141270	141581
pgaptmp_001985	ribosomal-processing cysteine protease Prp	WP_017353536.1	141586	141972
pgaptmp_001986	50S ribosomal protein L27	WP_008423727.1	141977	142276
pgaptmp_001987	GTPase ObgE	WP_011967860.1	142779	144065
pgaptmp_001988	ribosome assembly RNA-binding protein YhbY	WP_003369262.1	144087	144383
pgaptmp_001989	nicotinate-nucleotide adenylyltransferase	WP_012423240.1	144693	145295
pgaptmp_001990	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) YqeK	WP_012423267.1	145300	145875
pgaptmp_001991	LCP family protein	WP_012451793.1	145945	147231
pgaptmp_001992	RluA family pseudouridine synthase	WP_012451821.1	147256	148152
pgaptmp_001993	serine hydrolase	WP_012422985.1	148166	149485
pgaptmp_001994	helix-hairpin-helix domain-containing protein	WP_012449983.1	149702	150322
